Kennziffer;Raumeinheit;Aggregat;Geschlechterproportion insgesamt
;;;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"1,01"
"01002";"Kiel, Stadt";"krsfr. Stadt";"1,05"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"1,08"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"1,02"
"01051";"Dithmarschen";"Landkreis";"1,02"
"01053";"Herzogtum Lauenburg";"Landkreis";"1,04"
"01054";"Nordfriesland";"Landkreis";"1,04"
"01055";"Ostholstein";"Landkreis";"1,07"
"01056";"Pinneberg";"Landkreis";"1,04"
"01057";"Plön";"Landkreis";"1,06"
"01058";"Rendsburg-Eckernförde";"Landkreis";"1,03"
"01059";"Schleswig-Flensburg";"Landkreis";"1,02"
"01060";"Segeberg";"Landkreis";"1,02"
"01061";"Steinburg";"Landkreis";"1,02"
"01062";"Stormarn";"Landkreis";"1,05"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"1,04"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"1,02"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"1,01"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"1,01"
"03151";"Gifhorn";"Landkreis";"1,00"
"03153";"Goslar";"Landkreis";"1,02"
"03154";"Helmstedt";"Landkreis";"1,02"
"03155";"Northeim";"Landkreis";"1,03"
"03157";"Peine";"Landkreis";"1,02"
"03158";"Wolfenbüttel";"Landkreis";"1,02"
"03159";"Göttingen";"Landkreis";"1,03"
"03241";"Region Hannover";"Landkreis";"1,04"
"03251";"Diepholz";"Landkreis";"1,01"
"03252";"Hameln-Pyrmont";"Landkreis";"1,07"
"03254";"Hildesheim";"Landkreis";"1,05"
"03255";"Holzminden";"Landkreis";"1,02"
"03256";"Nienburg (Weser)";"Landkreis";"1,01"
"03257";"Schaumburg";"Landkreis";"1,04"
"03351";"Celle";"Landkreis";"1,03"
"03352";"Cuxhaven";"Landkreis";"1,04"
"03353";"Harburg";"Landkreis";"1,03"
"03354";"Lüchow-Dannenberg";"Landkreis";"1,04"
"03355";"Lüneburg";"Landkreis";"1,05"
"03356";"Osterholz";"Landkreis";"1,03"
"03357";"Rotenburg (Wümme)";"Landkreis";"0,99"
"03358";"Heidekreis";"Landkreis";"1,00"
"03359";"Stade";"Landkreis";"1,01"
"03360";"Uelzen";"Landkreis";"1,04"
"03361";"Verden";"Landkreis";"1,03"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"1,02"
"03402";"Emden, Stadt";"krsfr. Stadt";"1,00"
"03403";"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";"1,09"
"03404";"Osnabrück, Stadt";"krsfr. Stadt";"1,07"
"03405";"Wilhelmshaven, Stadt";"krsfr. Stadt";"1,03"
"03451";"Ammerland";"Landkreis";"1,04"
"03452";"Aurich";"Landkreis";"1,03"
"03453";"Cloppenburg";"Landkreis";"0,98"
"03454";"Emsland";"Landkreis";"0,97"
"03455";"Friesland";"Landkreis";"1,05"
"03456";"Grafschaft Bentheim";"Landkreis";"1,00"
"03457";"Leer";"Landkreis";"1,00"
"03458";"Oldenburg";"Landkreis";"1,01"
"03459";"Osnabrück";"Landkreis";"1,01"
"03460";"Vechta";"Landkreis";"0,98"
"03461";"Wesermarsch";"Landkreis";"0,99"
"03462";"Wittmund";"Landkreis";"1,03"
"04011";"Bremen, Stadt";"krsfr. Stadt";"1,03"
"04012";"Bremerhaven, Stadt";"krsfr. Stadt";"1,01"
"05111";"Düsseldorf, Stadt";"krsfr. Stadt";"1,07"
"05112";"Duisburg, Stadt";"krsfr. Stadt";"1,02"
"05113";"Essen, Stadt";"krsfr. Stadt";"1,06"
"05114";"Krefeld, Stadt";"krsfr. Stadt";"1,05"
"05116";"Mönchengladbach, Stadt";"krsfr. Stadt";"1,03"
"05117";"Mülheim an der Ruhr, Stadt";"krsfr. Stadt";"1,07"
"05119";"Oberhausen, Stadt";"krsfr. Stadt";"1,04"
"05120";"Remscheid, Stadt";"krsfr. Stadt";"1,03"
"05122";"Solingen, Stadt";"krsfr. Stadt";"1,06"
"05124";"Wuppertal, Stadt";"krsfr. Stadt";"1,04"
"05154";"Kleve";"Landkreis";"1,01"
"05158";"Mettmann";"Landkreis";"1,07"
"05162";"Rhein-Kreis Neuss";"Landkreis";"1,06"
"05166";"Viersen";"Landkreis";"1,05"
"05170";"Wesel";"Landkreis";"1,05"
"05314";"Bonn, Stadt";"krsfr. Stadt";"1,09"
"05315";"Köln, Stadt";"krsfr. Stadt";"1,05"
"05316";"Leverkusen, Stadt";"krsfr. Stadt";"1,05"
"05334";"Städteregion Aachen";"Landkreis";"0,98"
"05358";"Düren";"Landkreis";"1,02"
"05362";"Rhein-Erft-Kreis";"Landkreis";"1,04"
"05366";"Euskirchen";"Landkreis";"1,03"
"05370";"Heinsberg";"Landkreis";"1,02"
"05374";"Oberbergischer Kreis";"Landkreis";"1,03"
"05378";"Rheinisch-Bergischer Kreis";"Landkreis";"1,06"
"05382";"Rhein-Sieg-Kreis";"Landkreis";"1,04"
"05512";"Bottrop, Stadt";"krsfr. Stadt";"1,05"
"05513";"Gelsenkirchen, Stadt";"krsfr. Stadt";"1,01"
"05515";"Münster, Stadt";"krsfr. Stadt";"1,09"
"05554";"Borken";"Landkreis";"1,00"
"05558";"Coesfeld";"Landkreis";"1,03"
"05562";"Recklinghausen";"Landkreis";"1,05"
"05566";"Steinfurt";"Landkreis";"1,01"
"05570";"Warendorf";"Landkreis";"1,02"
"05711";"Bielefeld, Stadt";"krsfr. Stadt";"1,07"
"05754";"Gütersloh";"Landkreis";"1,00"
"05758";"Herford";"Landkreis";"1,04"
"05762";"Höxter";"Landkreis";"1,01"
"05766";"Lippe";"Landkreis";"1,04"
"05770";"Minden-Lübbecke";"Landkreis";"1,03"
"05774";"Paderborn";"Landkreis";"1,00"
"05911";"Bochum, Stadt";"krsfr. Stadt";"1,05"
"05913";"Dortmund, Stadt";"krsfr. Stadt";"1,04"
"05914";"Hagen, Stadt";"krsfr. Stadt";"1,05"
"05915";"Hamm, Stadt";"krsfr. Stadt";"1,04"
"05916";"Herne, Stadt";"krsfr. Stadt";"1,04"
"05954";"Ennepe-Ruhr-Kreis";"Landkreis";"1,06"
"05958";"Hochsauerlandkreis";"Landkreis";"1,01"
"05962";"Märkischer Kreis";"Landkreis";"1,03"
"05966";"Olpe";"Landkreis";"1,00"
"05970";"Siegen-Wittgenstein";"Landkreis";"1,01"
"05974";"Soest";"Landkreis";"1,01"
"05978";"Unna";"Landkreis";"1,05"
"06411";"Darmstadt, Stadt";"krsfr. Stadt";"0,96"
"06412";"Frankfurt am Main, Stadt";"krsfr. Stadt";"1,03"
"06413";"Offenbach am Main, Stadt";"krsfr. Stadt";"1,02"
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"1,09"
"06431";"Bergstraße";"Landkreis";"1,02"
"06432";"Darmstadt-Dieburg";"Landkreis";"1,01"
"06433";"Groß-Gerau";"Landkreis";"1,00"
"06434";"Hochtaunuskreis";"Landkreis";"1,06"
"06435";"Main-Kinzig-Kreis";"Landkreis";"1,03"
"06436";"Main-Taunus-Kreis";"Landkreis";"1,04"
"06437";"Odenwaldkreis";"Landkreis";"1,02"
"06438";"Offenbach";"Landkreis";"1,03"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"1,03"
"06440";"Wetteraukreis";"Landkreis";"1,02"
"06531";"Gießen";"Landkreis";"1,03"
"06532";"Lahn-Dill-Kreis";"Landkreis";"1,03"
"06533";"Limburg-Weilburg";"Landkreis";"1,01"
"06534";"Marburg-Biedenkopf";"Landkreis";"1,03"
"06535";"Vogelsbergkreis";"Landkreis";"1,00"
"06611";"Kassel, Stadt";"krsfr. Stadt";"1,04"
"06631";"Fulda";"Landkreis";"1,01"
"06632";"Hersfeld-Rotenburg";"Landkreis";"1,00"
"06633";"Kassel";"Landkreis";"1,04"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"1,00"
"06635";"Waldeck-Frankenberg";"Landkreis";"1,00"
"06636";"Werra-Meißner-Kreis";"Landkreis";"1,02"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"1,06"
"07131";"Ahrweiler";"Landkreis";"1,04"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"1,02"
"07133";"Bad Kreuznach";"Landkreis";"1,05"
"07134";"Birkenfeld";"Landkreis";"1,02"
"07135";"Cochem-Zell";"Landkreis";"1,00"
"07137";"Mayen-Koblenz";"Landkreis";"1,03"
"07138";"Neuwied";"Landkreis";"1,03"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"1,01"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"1,02"
"07143";"Westerwaldkreis";"Landkreis";"1,01"
"07211";"Trier, Stadt";"krsfr. Stadt";"1,03"
"07231";"Bernkastel-Wittlich";"Landkreis";"1,00"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"0,99"
"07233";"Vulkaneifel";"Landkreis";"0,99"
"07235";"Trier-Saarburg";"Landkreis";"1,02"
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"1,07"
"07312";"Kaiserslautern, Stadt";"krsfr. Stadt";"0,98"
"07313";"Landau in der Pfalz, Stadt";"krsfr. Stadt";"1,12"
"07314";"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";"1,01"
"07315";"Mainz, Stadt";"krsfr. Stadt";"1,06"
"07316";"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";"1,05"
"07317";"Pirmasens, Stadt";"krsfr. Stadt";"1,04"
"07318";"Speyer, Stadt";"krsfr. Stadt";"1,06"
"07319";"Worms, Stadt";"krsfr. Stadt";"1,03"
"07320";"Zweibrücken, Stadt";"krsfr. Stadt";"1,02"
"07331";"Alzey-Worms";"Landkreis";"1,01"
"07332";"Bad Dürkheim";"Landkreis";"1,04"
"07333";"Donnersbergkreis";"Landkreis";"1,02"
"07334";"Germersheim";"Landkreis";"1,01"
"07335";"Kaiserslautern";"Landkreis";"1,03"
"07336";"Kusel";"Landkreis";"1,01"
"07337";"Südliche Weinstraße";"Landkreis";"1,03"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"1,03"
"07339";"Mainz-Bingen";"Landkreis";"1,03"
"07340";"Südwestpfalz";"Landkreis";"1,03"
"08111";"Stuttgart, Stadt";"krsfr. Stadt";"1,00"
"08115";"Böblingen";"Landkreis";"1,01"
"08116";"Esslingen";"Landkreis";"1,00"
"08117";"Göppingen";"Landkreis";"1,01"
"08118";"Ludwigsburg";"Landkreis";"1,02"
"08119";"Rems-Murr-Kreis";"Landkreis";"1,02"
"08121";"Heilbronn, Stadt";"krsfr. Stadt";"0,98"
"08125";"Heilbronn";"Landkreis";"0,99"
"08126";"Hohenlohekreis";"Landkreis";"0,98"
"08127";"Schwäbisch Hall";"Landkreis";"0,99"
"08128";"Main-Tauber-Kreis";"Landkreis";"1,01"
"08135";"Heidenheim";"Landkreis";"1,01"
"08136";"Ostalbkreis";"Landkreis";"1,01"
"08211";"Baden-Baden, Stadt";"krsfr. Stadt";"1,08"
"08212";"Karlsruhe, Stadt";"krsfr. Stadt";"0,95"
"08215";"Karlsruhe";"Landkreis";"1,01"
"08216";"Rastatt";"Landkreis";"1,01"
"08221";"Heidelberg, Stadt";"krsfr. Stadt";"1,08"
"08222";"Mannheim, Stadt";"krsfr. Stadt";"1,00"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"0,99"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"1,03"
"08231";"Pforzheim, Stadt";"Landkreis";"1,04"
"08235";"Calw";"Landkreis";"0,99"
"08236";"Enzkreis";"Landkreis";"1,02"
"08237";"Freudenstadt";"Landkreis";"1,00"
"08311";"Freiburg im Breisgau, Stadt";"krsfr. Stadt";"1,10"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"1,03"
"08316";"Emmendingen";"Landkreis";"1,02"
"08317";"Ortenaukreis";"Landkreis";"1,01"
"08325";"Rottweil";"Landkreis";"1,00"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"1,01"
"08327";"Tuttlingen";"Landkreis";"0,99"
"08335";"Konstanz";"Landkreis";"1,05"
"08336";"Lörrach";"Landkreis";"1,04"
"08337";"Waldshut";"Landkreis";"1,02"
"08415";"Reutlingen";"Landkreis";"1,01"
"08416";"Tübingen";"Landkreis";"1,05"
"08417";"Zollernalbkreis";"Landkreis";"1,02"
"08421";"Ulm, Stadt";"krsfr. Stadt";"1,02"
"08425";"Alb-Donau-Kreis";"Landkreis";"0,98"
"08426";"Biberach";"Landkreis";"0,99"
"08435";"Bodenseekreis";"Landkreis";"1,03"
"08436";"Ravensburg";"Landkreis";"1,01"
"08437";"Sigmaringen";"Landkreis";"1,00"
"09161";"Ingolstadt, Stadt";"krsfr. Stadt";"0,98"
"09162";"München, Stadt";"krsfr. Stadt";"1,06"
"09163";"Rosenheim, Stadt";"krsfr. Stadt";"1,03"
"09171";"Altötting";"Landkreis";"1,03"
"09172";"Berchtesgadener Land";"Landkreis";"1,04"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"1,03"
"09174";"Dachau";"Landkreis";"1,00"
"09175";"Ebersberg";"Landkreis";"1,00"
"09176";"Eichstätt";"Landkreis";"0,97"
"09177";"Erding";"Landkreis";"0,98"
"09178";"Freising";"Landkreis";"0,96"
"09179";"Fürstenfeldbruck";"Landkreis";"1,04"
"09180";"Garmisch-Partenkirchen";"Landkreis";"1,06"
"09181";"Landsberg am Lech";"Landkreis";"1,00"
"09182";"Miesbach";"Landkreis";"1,04"
"09183";"Mühldorf a.Inn";"Landkreis";"0,98"
"09184";"München";"Landkreis";"1,01"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"0,99"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"0,96"
"09187";"Rosenheim";"Landkreis";"1,02"
"09188";"Starnberg";"Landkreis";"1,06"
"09189";"Traunstein";"Landkreis";"1,02"
"09190";"Weilheim-Schongau";"Landkreis";"1,01"
"09261";"Landshut, Stadt";"krsfr. Stadt";"1,06"
"09262";"Passau, Stadt";"krsfr. Stadt";"1,08"
"09263";"Straubing, Stadt";"krsfr. Stadt";"0,99"
"09271";"Deggendorf";"Landkreis";"1,01"
"09272";"Freyung-Grafenau";"Landkreis";"1,00"
"09273";"Kelheim";"Landkreis";"0,97"
"09274";"Landshut";"Landkreis";"0,97"
"09275";"Passau";"Landkreis";"1,01"
"09276";"Regen";"Landkreis";"1,00"
"09277";"Rottal-Inn";"Landkreis";"1,00"
"09278";"Straubing-Bogen";"Landkreis";"0,99"
"09279";"Dingolfing-Landau";"Landkreis";"0,94"
"09361";"Amberg, Stadt";"krsfr. Stadt";"1,03"
"09362";"Regensburg, Stadt";"krsfr. Stadt";"1,06"
"09363";"Weiden i.d.OPf., Stadt";"krsfr. Stadt";"1,07"
"09371";"Amberg-Sulzbach";"Landkreis";"1,00"
"09372";"Cham";"Landkreis";"0,99"
"09373";"Neumarkt i.d.OPf.";"Landkreis";"0,98"
"09374";"Neustadt a.d.Waldnaab";"Landkreis";"1,01"
"09375";"Regensburg";"Landkreis";"0,99"
"09376";"Schwandorf";"Landkreis";"0,99"
"09377";"Tirschenreuth";"Landkreis";"1,01"
"09461";"Bamberg, Stadt";"krsfr. Stadt";"1,08"
"09462";"Bayreuth, Stadt";"krsfr. Stadt";"1,05"
"09463";"Coburg, Stadt";"krsfr. Stadt";"1,06"
"09464";"Hof, Stadt";"krsfr. Stadt";"1,08"
"09471";"Bamberg";"Landkreis";"1,00"
"09472";"Bayreuth";"Landkreis";"1,02"
"09473";"Coburg";"Landkreis";"1,02"
"09474";"Forchheim";"Landkreis";"1,01"
"09475";"Hof";"Landkreis";"1,05"
"09476";"Kronach";"Landkreis";"1,03"
"09477";"Kulmbach";"Landkreis";"1,03"
"09478";"Lichtenfels";"Landkreis";"1,02"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"1,05"
"09561";"Ansbach, Stadt";"krsfr. Stadt";"1,09"
"09562";"Erlangen, Stadt";"krsfr. Stadt";"1,01"
"09563";"Fürth, Stadt";"krsfr. Stadt";"1,04"
"09564";"Nürnberg, Stadt";"krsfr. Stadt";"1,06"
"09565";"Schwabach, Stadt";"krsfr. Stadt";"1,05"
"09571";"Ansbach";"Landkreis";"0,99"
"09572";"Erlangen-Höchstadt";"Landkreis";"1,01"
"09573";"Fürth";"Landkreis";"1,06"
"09574";"Nürnberger Land";"Landkreis";"1,03"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"1,00"
"09576";"Roth";"Landkreis";"1,01"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"1,01"
"09661";"Aschaffenburg, Stadt";"krsfr. Stadt";"1,06"
"09662";"Schweinfurt, Stadt";"krsfr. Stadt";"1,04"
"09663";"Würzburg, Stadt";"krsfr. Stadt";"1,09"
"09671";"Aschaffenburg";"Landkreis";"1,01"
"09672";"Bad Kissingen";"Landkreis";"1,03"
"09673";"Rhön-Grabfeld";"Landkreis";"1,01"
"09674";"Haßberge";"Landkreis";"0,99"
"09675";"Kitzingen";"Landkreis";"0,99"
"09676";"Miltenberg";"Landkreis";"1,01"
"09677";"Main-Spessart";"Landkreis";"1,01"
"09678";"Schweinfurt";"Landkreis";"1,00"
"09679";"Würzburg";"Landkreis";"1,01"
"09761";"Augsburg, Stadt";"krsfr. Stadt";"1,04"
"09762";"Kaufbeuren, Stadt";"krsfr. Stadt";"1,03"
"09763";"Kempten (Allgäu), Stadt";"krsfr. Stadt";"1,02"
"09764";"Memmingen, Stadt";"krsfr. Stadt";"1,02"
"09771";"Aichach-Friedberg";"Landkreis";"1,00"
"09772";"Augsburg";"Landkreis";"1,01"
"09773";"Dillingen a.d.Donau";"Landkreis";"1,00"
"09774";"Günzburg";"Landkreis";"0,98"
"09775";"Neu-Ulm";"Landkreis";"1,02"
"09776";"Lindau (Bodensee)";"Landkreis";"1,03"
"09777";"Ostallgäu";"Landkreis";"1,01"
"09778";"Unterallgäu";"Landkreis";"0,99"
"09779";"Donau-Ries";"Landkreis";"0,97"
"09780";"Oberallgäu";"Landkreis";"1,03"
"10041";"Regionalverband Saarbrücken";"Landkreis";"1,04"
"10042";"Merzig-Wadern";"Landkreis";"1,02"
"10043";"Neunkirchen";"Landkreis";"1,04"
"10044";"Saarlouis";"Landkreis";"1,04"
"10045";"Saarpfalz-Kreis";"Landkreis";"1,06"
"10046";"St. Wendel";"Landkreis";"1,02"
"11000";"Berlin, Stadt";"krsfr. Stadt";"1,03"
"12051";"Brandenburg an der Havel, Stadt";"krsfr. Stadt";"1,02"
"12052";"Cottbus, Stadt";"krsfr. Stadt";"1,03"
"12053";"Frankfurt (Oder), Stadt";"krsfr. Stadt";"1,07"
"12054";"Potsdam, Stadt";"krsfr. Stadt";"1,07"
"12060";"Barnim";"Landkreis";"1,02"
"12061";"Dahme-Spreewald";"Landkreis";"1,02"
"12062";"Elbe-Elster";"Landkreis";"1,01"
"12063";"Havelland";"Landkreis";"1,02"
"12064";"Märkisch-Oderland";"Landkreis";"1,02"
"12065";"Oberhavel";"Landkreis";"1,03"
"12066";"Oberspreewald-Lausitz";"Landkreis";"1,03"
"12067";"Oder-Spree";"Landkreis";"1,04"
"12068";"Ostprignitz-Ruppin";"Landkreis";"1,01"
"12069";"Potsdam-Mittelmark";"Landkreis";"1,02"
"12070";"Prignitz";"Landkreis";"1,01"
"12071";"Spree-Neiße";"Landkreis";"1,03"
"12072";"Teltow-Fläming";"Landkreis";"1,01"
"12073";"Uckermark";"Landkreis";"1,04"
"13003";"Rostock, Stadt";"krsfr. Stadt";"1,03"
"13004";"Schwerin, Stadt";"krsfr. Stadt";"1,08"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"1,04"
"13072";"Landkreis Rostock";"Landkreis";"1,01"
"13073";"Vorpommern-Rügen";"Landkreis";"1,03"
"13074";"Nordwestmecklenburg";"Landkreis";"1,01"
"13075";"Vorpommern-Greifswald";"Landkreis";"1,04"
"13076";"Ludwigslust-Parchim";"Landkreis";"1,00"
"14511";"Chemnitz, Stadt";"krsfr. Stadt";"1,03"
"14521";"Erzgebirgskreis";"Landkreis";"1,04"
"14522";"Mittelsachsen";"Landkreis";"1,01"
"14523";"Vogtlandkreis";"Landkreis";"1,05"
"14524";"Zwickau";"Landkreis";"1,05"
"14612";"Dresden, Stadt";"krsfr. Stadt";"1,01"
"14625";"Bautzen";"Landkreis";"1,03"
"14626";"Görlitz";"Landkreis";"1,04"
"14627";"Meißen";"Landkreis";"1,03"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"1,03"
"14713";"Leipzig, Stadt";"krsfr. Stadt";"1,04"
"14729";"Leipzig";"Landkreis";"1,04"
"14730";"Nordsachsen";"Landkreis";"1,01"
"15001";"Dessau-Roßlau, Stadt";"krsfr. Stadt";"1,06"
"15002";"Halle (Saale), Stadt";"krsfr. Stadt";"1,07"
"15003";"Magdeburg, Stadt";"krsfr. Stadt";"1,03"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"1,00"
"15082";"Anhalt-Bitterfeld";"Landkreis";"1,04"
"15083";"Börde";"Landkreis";"1,00"
"15084";"Burgenlandkreis";"Landkreis";"1,01"
"15085";"Harz";"Landkreis";"1,04"
"15086";"Jerichower Land";"Landkreis";"1,01"
"15087";"Mansfeld-Südharz";"Landkreis";"1,03"
"15088";"Saalekreis";"Landkreis";"1,02"
"15089";"Salzlandkreis";"Landkreis";"1,04"
"15090";"Stendal";"Landkreis";"1,02"
"15091";"Wittenberg";"Landkreis";"1,03"
"16051";"Erfurt, Stadt";"krsfr. Stadt";"1,05"
"16052";"Gera, Stadt";"krsfr. Stadt";"1,07"
"16053";"Jena, Stadt";"krsfr. Stadt";"1,00"
"16054";"Suhl, Stadt";"krsfr. Stadt";"1,05"
"16055";"Weimar, Stadt";"krsfr. Stadt";"1,06"
"16056";"Eisenach, Stadt";"krsfr. Stadt";"1,03"
"16061";"Eichsfeld";"Landkreis";"0,99"
"16062";"Nordhausen";"Landkreis";"1,02"
"16063";"Wartburgkreis";"Landkreis";"1,00"
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"1,01"
"16065";"Kyffhäuserkreis";"Landkreis";"1,01"
"16066";"Schmalkalden-Meiningen";"Landkreis";"1,00"
"16067";"Gotha";"Landkreis";"1,01"
"16068";"Sömmerda";"Landkreis";"1,00"
"16069";"Hildburghausen";"Landkreis";"1,00"
"16070";"Ilm-Kreis";"Landkreis";"0,99"
"16071";"Weimarer Land";"Landkreis";"1,01"
"16072";"Sonneberg";"Landkreis";"1,03"
"16073";"Saalfeld-Rudolstadt";"Landkreis";"1,03"
"16074";"Saale-Holzland-Kreis";"Landkreis";"1,01"
"16075";"Saale-Orla-Kreis";"Landkreis";"1,02"
"16076";"Greiz";"Landkreis";"1,03"
"16077";"Altenburger Land";"Landkreis";"1,04"
